val,test,train
slide_887,slide_881,slide_817
slide_556,slide_859,slide_818
slide_697,slide_892,slide_820
slide_153,slide_893,slide_821
slide_614,slide_850,slide_822
slide_419,slide_908,slide_823
slide_16,slide_923,slide_824
slide_273,slide_911,slide_826
slide_352,slide_816,slide_828
slide_8,slide_268,slide_832
slide_882,slide_168,slide_833
slide_585,slide_477,slide_834
slide_781,slide_385,slide_835
,slide_432,slide_836
,slide_497,slide_837
,slide_484,slide_838
,slide_460,slide_839
,slide_296,slide_841
,slide_339,slide_842
,slide_380,slide_843
,slide_68,slide_845
,slide_379,slide_846
,slide_353,slide_847
,slide_363,slide_848
,slide_492,slide_849
,slide_142,slide_851
,slide_516,slide_854
,slide_285,slide_855
,slide_39,slide_856
,slide_366,slide_858
,slide_398,slide_860
,slide_52,slide_861
,slide_284,slide_863
,slide_112,slide_864
,slide_478,slide_865
,slide_310,slide_866
,slide_62,slide_867
,slide_463,slide_868
,slide_330,slide_869
,slide_393,slide_870
,slide_247,slide_871
,slide_281,slide_872
,slide_212,slide_873
,slide_1,slide_874
,slide_470,slide_875
,slide_3,slide_876
,slide_195,slide_877
,slide_22,slide_878
,slide_228,slide_879
,slide_208,slide_880
,slide_119,slide_883
,slide_496,slide_885
,slide_57,slide_886
,slide_381,slide_888
,slide_742,slide_891
,slide_752,slide_894
,slide_682,slide_895
,slide_704,slide_896
,slide_544,slide_897
,slide_583,slide_898
,slide_616,slide_899
,slide_702,slide_901
,slide_787,slide_902
,slide_597,slide_903
,slide_815,slide_904
,slide_659,slide_905
,slide_785,slide_906
,slide_759,slide_909
,slide_735,slide_914
,slide_695,slide_915
,slide_750,slide_916
,slide_519,slide_917
,slide_584,slide_918
,slide_564,slide_919
,slide_684,slide_920
,slide_764,slide_921
,slide_599,slide_924
,,slide_925
,,slide_926
,,slide_927
,,slide_928
,,slide_930
,,slide_932
,,slide_933
,,slide_934
,,slide_935
,,slide_936
,,slide_0
,,slide_11
,,slide_104
,,slide_105
,,slide_106
,,slide_107
,,slide_108
,,slide_109
,,slide_110
,,slide_111
,,slide_113
,,slide_12
,,slide_114
,,slide_115
,,slide_116
,,slide_117
,,slide_118
,,slide_120
,,slide_121
,,slide_123
,,slide_124
,,slide_125
,,slide_126
,,slide_127
,,slide_128
,,slide_129
,,slide_131
,,slide_132
,,slide_14
,,slide_134
,,slide_136
,,slide_137
,,slide_138
,,slide_139
,,slide_140
,,slide_141
,,slide_143
,,slide_15
,,slide_144
,,slide_145
,,slide_147
,,slide_148
,,slide_149
,,slide_150
,,slide_152
,,slide_154
,,slide_155
,,slide_156
,,slide_157
,,slide_158
,,slide_159
,,slide_160
,,slide_161
,,slide_162
,,slide_163
,,slide_17
,,slide_164
,,slide_165
,,slide_166
,,slide_167
,,slide_170
,,slide_171
,,slide_172
,,slide_173
,,slide_18
,,slide_174
,,slide_175
,,slide_176
,,slide_178
,,slide_180
,,slide_181
,,slide_182
,,slide_19
,,slide_184
,,slide_185
,,slide_186
,,slide_187
,,slide_188
,,slide_189
,,slide_190
,,slide_191
,,slide_192
,,slide_193
,,slide_20
,,slide_194
,,slide_197
,,slide_198
,,slide_199
,,slide_200
,,slide_201
,,slide_202
,,slide_203
,,slide_2
