val,test,train
slide_339,slide_270,slide_111
slide_384,slide_271,slide_112
slide_398,slide_273,slide_113
slide_337,slide_275,slide_114
slide_278,slide_276,slide_115
slide_372,slide_277,slide_116
slide_382,slide_279,slide_118
slide_315,slide_280,slide_119
slide_360,slide_282,slide_121
slide_346,slide_284,slide_122
slide_306,slide_285,slide_124
slide_331,slide_286,slide_125
slide_393,slide_287,slide_126
slide_281,slide_288,slide_127
slide_379,slide_289,slide_128
slide_354,slide_290,slide_129
slide_301,slide_291,slide_131
slide_294,slide_292,slide_132
slide_378,slide_293,slide_133
slide_317,slide_295,slide_136
slide_359,slide_296,slide_137
slide_272,slide_297,slide_138
slide_380,slide_298,slide_139
slide_274,slide_299,slide_140
slide_283,slide_300,slide_141
,slide_302,slide_142
,slide_303,slide_143
,slide_304,slide_144
,slide_305,slide_145
,slide_307,slide_146
,slide_308,slide_147
,slide_309,slide_148
,slide_310,slide_149
,slide_311,slide_151
,slide_312,slide_153
,slide_313,slide_154
,slide_314,slide_155
,slide_316,slide_156
,slide_318,slide_159
,slide_319,slide_160
,slide_320,slide_161
,slide_321,slide_162
,slide_322,slide_163
,slide_323,slide_164
,slide_324,slide_165
,slide_325,slide_167
,slide_326,slide_169
,slide_327,slide_172
,slide_328,slide_173
,slide_329,slide_174
,slide_330,slide_175
,slide_332,slide_176
,slide_333,slide_177
,slide_334,slide_178
,slide_335,slide_179
,slide_336,slide_180
,slide_338,slide_181
,slide_340,slide_182
,slide_341,slide_185
,slide_342,slide_186
,slide_343,slide_187
,slide_344,slide_188
,slide_345,slide_190
,slide_347,slide_191
,slide_348,slide_192
,slide_349,slide_193
,slide_350,slide_194
,slide_351,slide_195
,slide_352,slide_196
,slide_353,slide_197
,slide_355,slide_199
,slide_356,slide_200
,slide_357,slide_201
,slide_358,slide_202
,slide_361,slide_204
,slide_362,slide_205
,slide_363,slide_206
,slide_364,slide_207
,slide_365,slide_208
,slide_366,slide_209
,slide_367,slide_212
,slide_368,slide_213
,slide_369,slide_214
,slide_370,slide_216
,slide_371,slide_220
,slide_373,slide_221
,slide_374,slide_222
,slide_375,slide_223
,slide_376,slide_224
,slide_377,slide_226
,slide_381,slide_227
,slide_383,slide_228
,slide_385,slide_232
,slide_386,slide_233
,slide_387,slide_235
,slide_388,slide_236
,slide_389,slide_237
,slide_390,slide_239
,slide_391,slide_240
,slide_392,slide_241
,slide_394,slide_242
,slide_395,slide_243
,slide_396,slide_244
,slide_397,slide_245
,,slide_246
,,slide_247
,,slide_248
,,slide_249
,,slide_250
,,slide_251
,,slide_253
,,slide_254
,,slide_256
,,slide_257
,,slide_258
,,slide_260
,,slide_261
,,slide_263
,,slide_264
,,slide_266
,,slide_267
,,slide_268
,,slide_269
,,slide_0
,,slide_1
,,slide_3
,,slide_4
,,slide_6
,,slide_7
,,slide_9
,,slide_10
,,slide_12
,,slide_13
,,slide_14
,,slide_15
,,slide_16
,,slide_18
,,slide_19
,,slide_20
,,slide_21
,,slide_23
,,slide_25
,,slide_26
,,slide_27
,,slide_28
,,slide_30
,,slide_31
,,slide_32
,,slide_33
,,slide_34
,,slide_35
,,slide_36
,,slide_37
,,slide_38
,,slide_39
,,slide_40
,,slide_41
,,slide_42
,,slide_43
,,slide_44
,,slide_45
,,slide_46
,,slide_47
,,slide_49
,,slide_50
,,slide_52
,,slide_53
,,slide_55
,,slide_56
,,slide_57
,,slide_59
,,slide_61
,,slide_62
,,slide_63
,,slide_65
,,slide_66
,,slide_68
,,slide_69
,,slide_70
,,slide_71
,,slide_73
,,slide_74
,,slide_75
,,slide_76
,,slide_78
,,slide_79
,,slide_80
,,slide_82
,,slide_83
,,slide_84
,,slide_86
,,slide_87
,,slide_89
,,slide_90
,,slide_91
,,slide_92
,,slide_93
,,slide_94
,,slide_95
,,slide_96
,,slide_97
,,slide_98
,,slide_99
,,slide_102
,,slide_103
,,slide_104
,,slide_105
,,slide_107
,,slide_108
,,slide_109
