val,test,train
slide_803,slide_869,slide_816
slide_438,slide_894,slide_817
slide_360,slide_872,slide_818
slide_723,slide_910,slide_823
slide_489,slide_870,slide_826
slide_455,slide_824,slide_828
slide_839,slide_860,slide_830
slide_896,slide_901,slide_831
slide_48,slide_908,slide_833
slide_135,slide_887,slide_834
slide_181,slide_820,slide_835
slide_605,slide_903,slide_836
slide_846,slide_402,slide_837
slide_390,slide_479,slide_838
slide_466,slide_79,slide_841
slide_118,slide_80,slide_842
slide_33,slide_297,slide_843
slide_742,slide_154,slide_845
slide_93,slide_187,slide_847
slide_832,slide_500,slide_848
,slide_272,slide_849
,slide_176,slide_851
,slide_221,slide_853
,slide_480,slide_854
,slide_405,slide_855
,slide_151,slide_858
,slide_487,slide_859
,slide_369,slide_863
,slide_76,slide_864
,slide_216,slide_866
,slide_124,slide_867
,slide_261,slide_868
,slide_132,slide_871
,slide_277,slide_873
,slide_483,slide_876
,slide_317,slide_878
,slide_98,slide_879
,slide_205,slide_880
,slide_149,slide_881
,slide_28,slide_882
,slide_99,slide_883
,slide_195,slide_885
,slide_177,slide_886
,slide_168,slide_888
,slide_34,slide_889
,slide_387,slide_891
,slide_137,slide_892
,slide_40,slide_893
,slide_474,slide_897
,slide_320,slide_899
,slide_345,slide_902
,slide_434,slide_904
,slide_394,slide_905
,slide_249,slide_906
,slide_411,slide_907
,slide_448,slide_909
,slide_112,slide_911
,slide_194,slide_912
,slide_385,slide_914
,slide_214,slide_915
,slide_72,slide_916
,slide_220,slide_918
,slide_517,slide_919
,slide_350,slide_920
,slide_160,slide_921
,slide_425,slide_923
,slide_420,slide_924
,slide_424,slide_925
,slide_511,slide_926
,slide_509,slide_927
,slide_213,slide_928
,slide_44,slide_930
,slide_271,slide_931
,slide_20,slide_932
,slide_413,slide_933
,slide_55,slide_934
,slide_233,slide_935
,slide_43,slide_0
,slide_728,slide_1
,slide_623,slide_11
,slide_756,slide_105
,slide_556,slide_106
,slide_613,slide_107
,slide_787,slide_108
,slide_772,slide_109
,slide_632,slide_110
,slide_752,slide_111
,slide_640,slide_113
,slide_793,slide_114
,slide_638,slide_115
,slide_587,slide_116
,slide_617,slide_117
,slide_780,slide_119
,slide_711,slide_120
,slide_691,slide_121
,slide_621,slide_122
,slide_555,slide_123
,slide_801,slide_13
,slide_610,slide_125
,slide_789,slide_126
,slide_774,slide_127
,slide_740,slide_128
,slide_662,slide_129
,slide_529,slide_130
,slide_620,slide_14
,slide_656,slide_134
,slide_797,slide_136
,slide_599,slide_138
,slide_736,slide_139
,slide_805,slide_140
,slide_788,slide_141
,slide_695,slide_142
,slide_580,slide_144
,slide_790,slide_145
,slide_720,slide_146
,,slide_147
,,slide_148
,,slide_150
,,slide_16
,,slide_155
,,slide_156
,,slide_157
,,slide_158
,,slide_159
,,slide_161
,,slide_162
,,slide_163
,,slide_17
,,slide_165
,,slide_166
,,slide_167
,,slide_169
,,slide_171
,,slide_172
,,slide_173
,,slide_18
,,slide_175
,,slide_178
,,slide_179
,,slide_182
,,slide_183
,,slide_19
,,slide_184
,,slide_186
,,slide_188
,,slide_189
,,slide_190
,,slide_191
,,slide_192
,,slide_193
,,slide_196
,,slide_197
,,slide_198
,,slide_199
,,slide_200
,,slide_201
,,slide_2
,,slide_21
,,slide_204
,,slide_206
,,slide_207
,,slide_208
,,slide_209
,,slide_210
,,slide_211
,,slide_212
,,slide_215
,,slide_217
,,slide_218
,,slide_223
,,slide_23
,,slide_225
,,slide_226
,,slide_227
,,slide_228
,,slide_229
,,slide_230
,,slide_231
,,slide_232
,,slide_24
,,slide_234
,,slide_235
,,slide_236
,,slide_237
,,slide_238
,,slide_239
,,slide_240
,,slide_242
,,slide_243
,,slide_25
,,slide_244
,,slide_247
,,slide_248
,,slide_250
,,slide_251
,,slide_252
,,slide_253
,,slide_26
,,slide_254
,,slide_256
,,slide_257
,,slide_259
,,slide_260
,,slide_262
,,slide_263
,,slide_27
,,slide_264
,,slide_265
,,slide_267
,,slide_268
,,slide_269
,,slide_270
,,slide_274
,,slide_275
,,slide_276
,,slide_278
,,slide_280
,,slide_281
,,slide_282
,,slide_283
,,slide_29
,,slide_284
,,slide_285
,,slide_286
,,slide_287
,,slide_290
,,slide_291
,,slide_292
,,slide_293
,,slide_30
,,slide_294
,,slide_295
,,slide_296
,,slide_298
,,slide_299
,,slide_301
,,slide_302
,,slide_303
,,slide_3
,,slide_31
,,slide_304
,,slide_305
,,slide_306
,,slide_307
,,slide_309
,,slide_32
,,slide_315
,,slide_318
,,slide_319
,,slide_321
